#,URL,University Name (Tab Title),Status
127,http://www.ksu.ac.in/,Privacy error,OK
128,http://www.kswu.ac.in/,,TIMEOUT
129,http://www.ktujm.ac.in/,Welcome to Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya,OK
130,http://www.kud.ac.in/,ಕರ್ನಾಟಕ ವಿಶ್ವವಿದ್ಯಾಲಯ ಧಾರವಾಡ,OK
131,http://www.kuhs.ac.in/,KUHS - Home,OK
132,http://www.kuk.ac.in/,Kurukshetra University,OK
133,http://www.kunainital.ac.in/,"Welcome To The Official Website Of Kumaun University, Nainital | Kumaun University, Nainital",OK
134,http://www.kuvempu.ac.in/eng/index.php,,TIMEOUT
135,http://www.lkouniv.ac.in/,University of Lucknow,OK
136,http://www.mafsu.in/,,TIMEOUT
137,http://www.magadhuniversity.ac.in/,Welcome To Magadh University Bodh Gaya (Bihar),OK
138,http://www.mangaloreuniversity.ac.in/,,TIMEOUT
139,http://www.mcu.ac.in/,Makhanlal Chaturvedi Rashtriya Patrakarita Evam Sanchar Vishwavidyalaya,OK
140,http://www.mgkvp.ac.in/,Mahatma Gandhi Kashi Vidyapith: Home Page,OK
141,http://www.mgu.ac.in/,"Welcome to MG University, Kottayam",OK
142,http://www.mguniversity.ac.in/,"Mahatma Gandhi University, Nalgonda(TS) - Home",OK
143,http://www.mlsu.ac.in/,Welcome to Mohanlal Sukhadia University - Udaipur,OK
144,http://www.mmmut.ac.in/,,TIMEOUT
145,http://www.mpkv.mah.nic.in/,,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
146,http://www.mpuat.ac.in/,Maharana Pratap University of Agriculture & Technology,OK
147,http://www.mtu.ac.in/,MTU,OK
148,http://www.mu.ac.in/,,ERROR: Alert Text: As we are up with our new website. Would you like to have a quick ov
149,http://www.muc.ac.in/,MUC - Manipur University of Culture,OK
150,http://www.muhsnashik.com/,muhsnashik.com,OK
151,http://www.musicuniversity.ac.in/,Music University,OK
152,"http://www.nalandaopenuniversity.com,/",,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
153,http://www.nannayauniversity.info/,,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
154,http://www.nbu.ac.in/,University of North Bengal,OK
155,http://www.ndvsu.org/,"Nanaji Deshmukh Veterinary Science University, Jabalpur",OK
156,http://www.ngu.ac.in/,"HNGU-Hemchandracharya North Gujarat University,Patan",OK
157,http://www.nims.edu.in/,NIMS - Nizam's Institute Of Medical Sciences,OK
158,http://www.nliu.ac.in/,The National Law Institute University Bhopal | NLIU Bhopal,OK
159,http://www.nls.ac.in/,,TIMEOUT
160,http://www.nluassam.ac.in/,NLUJAA,OK
161,http://www.nlujodhpur.ac.in/,National Law University,OK
162,http://www.nluo.ac.in/,Home - NLUO | National Law University Odisha,OK
163,http://www.nmu.ac.in/,,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
164,http://www.nou.nic.in/,Welcome To Maharaja Sriram Chandra Bhanja Deo University (Erstwhile North Orissa University),OK
165,http://www.npu.ac.in/,Home Page | Nilamber-Pitamber University.,OK
166,http://www.nrupathungauniversityblr.ac.in/index.php,404 Not Found,OK
167,http://www.nuals.ac.in/,(no title),NO TITLE
168,http://www.nujs.edu/,Law NUJS Kolkata WB National University of Juridical Sciences India West Bengal,OK
169,http://www.nvsp.in/,Privacy error,OK
170,http://www.palamuruuniversity.ac.in/,Palamuru University - Public university situated in Mahbubnagar in Telangana,OK
171,http://www.patnauniversity.ac.in/,Coming Soon,OK
172,http://www.pdkv.mah.nic.in/,,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
173,http://www.pjtsau.edu.in/,PROFESSOR JAYASHANKAR TELANGANA AGRICULTURAL UNIVERSITY,OK
174,http://www.policeuniversity.ac.in/,"SARDAR PATEL UNIVERSITY OF POLICE,SECURITY AND CRIMINAL JUSTICE, JODHPUR",OK
175,http://www.ppup.ac.in/,"::: PATLIPUTRA UNIVERSITY, PATNA :::",OK
176,http://www.presiuniv.ac.in/,,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
177,http://www.prsu.ac.in/,Pt. Ravishankar Shukla University,OK
178,http://www.pssou.ac.in/,"Pt. Sundarlal Sharma (Open) University Chhattisgarh, Bilaspur",OK
179,http://www.puchd.ac.in/,Official Website of Panjab University Chandigarh ਪੰਜਾਬ ਯੂਨੀਵਰਸਿਟੀ ਚੰਡੀਗੜ੍ਹ पंजाब विश्वविद्यालय चंडीगढ़ पंजाब यूनिवर्सिटी चंडीगढ़ Chandigarh India,OK
180,http://www.punjabiuniversity.ac.in/,"Punjabi University, Patiala | Higher Education Institute | NAAC ""A"" Grade | Punjab",OK
181,http://www.ranchiuniversity.ac.in/,"Official Website of Ranchi University, Ranchi",OK
182,http://www.raubikaner.org/,"Welcome To Swami Kheswanand Rajasthan Agriculture University, Bikaner",OK
183,http://www.rbu.ac.in/,Rabindra Bharati University,OK
184,http://www.rdunijbpin.org/,"Rani Durgavati Vishwavidyalaya, Jabalpur M.P.",OK
185,http://www.rgnul.ac.in/,Rajiv Gandhi National University of Law Punjab [ACCREDITED BY NAAC WTH 'A' GRADE],OK
186,http://www.rguhs.ac.in/,Rajiv Gandhi University of Health Sciences Karnataka,OK
187,http://www.rgukt.in/,Rajiv Gandhi University of Knowledge Technologies - Andhra Pradesh,OK
188,http://www.rmlau.ac.in/,Dr. Rammanohar Lohia Avadh University,OK
189,http://www.rtu.ac.in/,Just a moment...,OK
190,http://www.ruhsraj.org/,Rajasthan University of Health Sciences,OK
191,http://www.sanchiuniv.edu.in/,(no title),NO TITLE
192,"http://www.sanskrituni.digitaluniversity.ac,/",,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
193,http://www.sasu.ac.in/,,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
194,http://www.satavahana.ac.in/,Home,OK
195,http://www.saurashtrauniversity.edu/,We've Moved!,OK
196,http://www.sbssugsp.ac.in/,"Region's Best State University for Engineering, Research, Agriculture,Graduate & Post Graduate Courses",OK
197,http://www.sdau.edu.in/,SDAU | Sardarkrushinagar Dantiwada Agricultural University,OK
198,http://www.sgbau.ac.in/,"Sant Gadge Baba Amravati University, Amravati, Maharashtra, India",OK
199,http://www.sjsv.nic.in/,,ERROR: Message: unknown error: net::ERR_CONNECTION_REFUSED
200,http://www.skbu.ac.in/,,TIMEOUT
201,http://www.skuastkashmir.ac.in/,"Sher-e-Kashmir University of Agricultural Sciences and Technology Kashmir (SKUAST-K), Shalimar Srinagar",OK
202,http://www.smvdu.net.in/,ravin-obu.com,OK
203,http://www.sndt.ac.in/,Home | SNDT Women's University,OK
204,http://www.spmvv.ac.in/,Sri Padmavati Mahila Visvavidyalayam – Women's University,OK
205,http://www.spuvvn.edu/,"Sardar Patel University, The public state university",OK
206,http://www.srtmun.org/,Why Mental Health Courses Matter in Australia's Community Services Sector | Srtmun,OK
207,http://www.ssus.ac.in/,Sree Sankaracharya University of Sanskrit,OK
