URL,University Name (Tab Title)
http://www.rgukt.in/,Rajiv Gandhi University of Knowledge Technologies - Andhra Pradesh
http://www.rmlau.ac.in/,Dr. Rammanohar Lohia Avadh University
http://www.rtu.ac.in/,Just a moment...
http://www.ruhsraj.org/,Rajasthan University of Health Sciences
http://www.satavahana.ac.in/,Home
http://www.saurashtrauniversity.edu/,We've Moved!
http://www.sbssugsp.ac.in/,"Region's Best State University for Engineering, Research, Agriculture,Graduate & Post Graduate Courses"
http://www.sdau.edu.in/,SDAU | Sardarkrushinagar Dantiwada Agricultural University
http://www.sgbau.ac.in/,"Sant Gadge Baba Amravati University, Amravati, Maharashtra, India"
http://www.skuastkashmir.ac.in/,"Sher-e-Kashmir University of Agricultural Sciences and Technology Kashmir (SKUAST-K), Shalimar Srinagar"
http://www.smvdu.net.in/,ravin-obu.com
http://www.sndt.ac.in/,Home | SNDT Women's University
http://www.spmvv.ac.in/,Sri Padmavati Mahila Visvavidyalayam – Women's University
http://www.spuvvn.edu/,"Sardar Patel University, The public state university"
http://www.srtmun.org/,Why Mental Health Courses Matter in Australia's Community Services Sector | Srtmun
http://www.ssus.ac.in/,Sree Sankaracharya University of Sanskrit
http://www.svvedicuniversity.ac.in/,Home Page :: Sri Venkateswara Vedic University ::
http://www.tanuvas.ac.in/,TANUVAS
http://www.tmbu.org/,How to Book Bus Tickets in Colombia | .Map
http://www.tnau.ac.in/,"Tamil Nadu Agricultural University – The Tamil Nadu Agricultural University (TNAU) had its genesis from establishment of an Agricultural School at Saidapet, Madras, Tamil Nadu, as early as 1868 and it was later relocated at Coimbatore."
http://www.tumkuruniversity.ac.in/,Kannada Home Page - Tumkur University Tumkur
http://www.uasd.edu/,"University of Agricultural Sciences, Dharwad"
http://www.uau.ac.in/,Home | Uttarakhand Ayurved University
http://www.ugb.ac.in/,University Of Gour Banga
http://www.ugc.ac.in/,"Welcome to UGC, New Delhi, India"
http://www.ugcnetonline.in/,University Grants Commission - NET
http://www.unigoa.ac.in/,"Goa University, Goa's premier University, Post Graduation, PH.D, B.SC, M.SC, Research Facilities Study India programme."
http://www.unipune.ac.in/,"Savitribai Phule Pune University, One of the Premier Universities in India - Official Website."
